#{"t_start": 1781613481.9531546, "env_id": "None"}
r,l,t,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc
-655.419542,1695,2.86231,0.15049147241554273,0.1479915094645351,0.949985921382904,0.949985921382904,0,100.0,0.20084905354648963,1,-500.0,-600.0,1,100.0,3,0,3,0.1479915094645351
-662.462959,3200,11.037707,0.1545274180785823,0.14926426018384548,2.6451315879821777,2.0,1,100.0,0.07357398161545181,1,-500.0,-600.0,1,100.0,1,0,1,0.14926426018384548
-654.343711,1450,14.537977,0.1531438328962225,0.14840650058981236,1.800186276435852,1.800186276435852,0,100.0,0.1593499410187632,1,-500.0,-600.0,1,100.0,0,0,0,0.14840650058981236
-655.339032,1542,16.74708,0.15083159112204814,0.14790865243638,1.110716700553894,1.110716700553894,0,100.0,0.20913475636200052,1,-500.0,-600.0,1,100.0,3,0,3,0.14790865243638
-653.889827,1433,21.26912,0.15119463392712246,0.1492964579785779,0.7213068604469299,0.7213068604469299,0,100.0,0.07035420214220878,1,-500.0,-600.0,1,100.0,10,0,10,0.1492964579785779
-626.692941,832,22.377965,0.15138612035211022,0.1481919786504621,1.2137738466262817,1.2137738466262817,0,100.0,0.18080213495378916,1,-500.0,-600.0,1,100.0,4,0,4,0.1481919786504621
-658.47897,1929,26.386395,0.15096735375739842,0.1457041958626616,2.084899663925171,2.0,1,100.0,0.4295804137338405,1,-500.0,-600.0,1,100.0,5,0,5,0.1457041958626616
-635.784742,1007,29.082305,0.15158878105180404,0.14743666785257004,1.5778030157089233,1.5778030157089233,0,100.0,0.25633321474299586,1,-500.0,-600.0,1,100.0,4,0,4,0.14743666785257004
-655.906099,1682,33.435961,0.15072100797163326,0.14846801200376827,0.8561384677886963,0.8561384677886963,0,100.0,0.15319879962317207,1,-500.0,-600.0,1,100.0,6,0,6,0.14846801200376827
-658.024675,2319,38.512576,0.15051438720328222,0.1494882336388291,0.3899383544921875,0.3899383544921875,0,100.0,0.05117663611708956,1,-500.0,-600.0,1,100.0,4,0,4,0.1494882336388291
-648.77709,1323,40.282217,0.1503349700266452,0.1468967730287517,1.306514859199524,1.306514859199524,0,100.0,0.31032269712482907,1,-500.0,-600.0,1,100.0,3,0,3,0.1468967730287517
-557.424325,4335,51.440601,0.8489455994244628,0.8510180771302395,-0.8726221919059753,-0.8726221919059753,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.29892755900221174
-522.394781,410,51.990692,0.8496650368979098,0.8501882739325883,-0.22031033039093018,-0.22031033039093018,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.500665281355381
-529.458403,561,52.765287,0.8491522788291683,0.8507722504695764,-0.6820933222770691,-0.6820933222770691,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4998501974501108
-532.928256,628,53.591368,0.8492302710954095,0.851404640750959,-0.9155240654945374,-0.9155240654945374,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.49984641478544
-533.321199,638,55.843564,0.8480673251145168,0.852989598660974,-2.0725362300872803,-2.0725362300872803,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.48883209707548747
-536.567732,834,56.972957,0.849039512354243,0.8516538699747207,-1.1007821559906006,-1.1007821559906006,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4930372729202438
-536.682438,757,57.998798,0.8499874859326778,0.8504029947393833,-0.17495107650756836,-0.17495107650756836,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.499786986959608
-566.133928,1997,62.867985,0.8477504993452143,0.852010004810841,-1.7934759855270386,-1.7934759855270386,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4615827229546481
-570.842161,1761,67.117246,0.8482874479176189,0.8515379907222177,-1.3686496019363403,-1.3686496019363403,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.5018778368085622
-662.269823,3327,74.269869,0.1502699564560691,0.14884921779038798,0.5398806929588318,0.5398806929588318,0,100.0,0.11507822096120113,1,-500.0,-600.0,1,100.0,1,0,1,0.14884921779038798
-631.815783,891,75.867472,0.15146599696936844,0.1462028390746316,2.20809268951416,2.0,1,100.0,0.3797160925368387,1,-500.0,-600.0,1,100.0,4,0,4,0.1462028390746316
-644.36053,1189,79.863223,0.1505582873780323,0.1498331876199343,0.27553790807724,0.27553790807724,0,100.0,0.016681238006568955,1,-500.0,-600.0,1,100.0,1,0,1,0.1498331876199343
-656.310351,1474,83.200184,0.15124496046225283,0.14978883247986227,0.5533286333084106,0.5533286333084106,0,100.0,0.021116752013772278,1,-500.0,-600.0,1,100.0,3,0,3,0.14978883247986227
-655.751113,2565,88.533737,0.15232492726455307,0.14963158723910303,1.0234692096710205,1.0234692096710205,0,100.0,0.036841276089696895,1,-500.0,-600.0,1,100.0,5,0,5,0.14963158723910303
-557.83798,5910,102.595117,0.8487083988708314,0.8503984793198165,-0.7116128206253052,-0.7116128206253052,0,0.0,0.0,0,-500.0,-500.0,0,0.0,1,0,1,0.16926921465213948
-546.387959,991,105.989329,0.8494982796525099,0.851011453828726,-0.6371259689331055,-0.6371259689331055,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.49599922725832774
-511.413117,9944,137.020364,0.8498918857696316,0.8538409931930563,-1.662782073020935,-1.662782073020935,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.39524669843711746
596.325069,26279,197.41218,0.8111938993892646,0.8108480167335059,0.13143540918827057,0.13143540918827057,0,0.0,0.0,0,-0.025166803492360543,-0.025166803492360543,0,0.0,0,0,0,0.31433492779971045
689.261483,26279,263.611857,0.43610904214171115,0.4369002312758321,-0.333132266998291,-0.333132266998291,0,0.0,0.0,0,-0.04085260993578107,-0.04085260993578107,0,0.0,1,0,1,0.18317804375551275
