period,controller,model_source,env_type,expected_steps,completed_steps,completion_ratio_pct,terminated_early,termination_step,failure_reason,total_reward,mean_reward_per_step,CO2_ton,avg_voltage_deviation_pu,battery_heat_loss_kWh,abs_battery_action_kWh,grid_import_kWh,grid_export_kWh,total_load_kWh,total_PV_kWh,self_consumed_PV_kWh,SSR_pct,SSC_pct,grid_import_energy_cost_usd,market_credit_or_revenue_usd,local_pv_resilience_value_usd,carbon_cost_usd,battery_wear_cost_usd,voltage_deviation_cost_usd,failure_cost_usd,gross_cost_before_credits_usd,total_credit_or_value_usd,net_cost_usd,net_result_type,net_result_magnitude_usd,min_SOC,max_SOC,min_SOC_low_margin,min_voltage,max_voltage,min_voltage_safety_margin,physical_policy_violation_count,physical_policy_violation_rate_pct,unsafe_state_duration_hours,low_SOC_violation_count,high_SOC_violation_count,voltage_violation_count,stability_failure_count,accepted_action_count,accepted_action_rate_pct,corrected_action_count,corrected_action_rate_pct,clipped_action_count,clipped_action_rate_pct,blocked_action_count,blocked_action_rate_pct,final_blocked_action_count,fallback_activation_count,fallback_rate_pct,forecast_warning_count,forecast_warning_rate_pct,dynamic_reserve_count,dynamic_reserve_rate_pct,mean_total_step_time_ms,p95_total_step_time_ms,mean_shield_decision_time_ms,p95_shield_decision_time_ms,mean_FMU_step_time_ms,p95_FMU_step_time_ms,shield_overhead_share_pct
Q4_Unseen_Test,MDP-PPO,best_eval,mdp,8760,8759,99.98858447488584,True,8758,Unknown termination reason.,62.67277108448048,0.007155242731416884,0.0,0.001980720701752166,57.080970961839164,1113.458631828893,4591.2088453604965,2348.4442052983754,7245.011458333309,5045.595528600005,2697.15132330163,36.62937772058833,53.45555956701914,309.36856179761674,111.40300602682377,134.8575661650815,0.0,5.708097096183916,19.80720701752166,5000.0,5334.883865911323,246.26057219190528,5088.623293719417,Net cost,5088.623293719417,0.3468896279814402,0.5492141347534972,0.1968896279814402,0.9955825997913876,1.0057687984172725,0.04423120158272753,0,0.0,0.0,0,0,0,0,8759,100.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.6276586005272963,0.8462744998723792,,,0.07497849777810066,0.11519489962665831,
Q4_Unseen_Test,POMDP-LSTM-PPO,best_eval,pomdp,8760,4375,49.94292237442922,True,4374,SOC below safe limit: SOC < 0.15,-366.48514419153645,-0.08376803295806548,0.0,0.001706026729080064,99.38834212154603,1938.4474416500889,1967.761530367584,1017.7852455225276,3994.382291666655,3108.7162187999984,2090.930973277471,50.736775133595536,67.26027163986667,143.73912829386688,47.94320404061966,104.54654866387355,0.0,9.938834212154603,17.06026729080064,5000.0,5170.738229796822,152.4897527044932,5018.248477092329,Net cost,5018.248477092329,0.1492186985684086,0.707020418232993,-0.0007813014315913858,0.9961697913358608,1.004856826271019,0.045143173728981134,1,0.022857142857142857,0.25,1,0,0,1,4375,100.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.7671711467433072,0.9874578006019876,,,0.08549544571059024,0.12607510034285951,
Q4_Unseen_Test,Formal-POMDP-LSTM-PPO,best_eval,formal,8760,8759,99.98858447488584,True,8758,Unknown termination reason.,211.135033159012,0.024104924438750088,0.0,0.0011286404117680725,237.71467777674096,4637.907137596296,3184.47186616801,769.8326805026019,7245.011458333309,5045.595528600005,4275.762848097404,56.04600649036673,84.7424813158536,203.82296009420648,37.507595380952004,213.7881424048702,0.0,23.771467777674097,11.286404117680725,5000.0,5238.880831989562,251.2957377858222,4987.58509420374,Net cost,4987.58509420374,0.17,0.5522818058231649,0.020000000000000018,0.9962077702551321,1.003293250571818,0.04620777025513212,0,0.0,0.0,0,0,0,0,8338,95.19351524146592,265,3.025459527343304,265,3.025459527343304,191,2.180614225368193,0,0,0.0,255,2.9112912432926135,7378,84.23335997259962,1.0257992606438995,1.351201299530658,0.37965018345974266,0.47945580008672556,0.08145431350718065,0.11125420041935291,37.01018298857364
Full_Year_2023,MDP-PPO,best_eval,mdp,35040,35039,99.99714611872146,True,35038,Unknown termination reason.,943.0466749582463,0.026914200603848464,0.0,0.0024413368505068664,350.5874741254361,6840.597801166587,15684.15940339851,18532.64135856553,31575.435416666623,34760.75128200002,16228.109923434491,50.32797110655247,46.68515301002084,1251.3006882282812,640.0981172934376,811.4054961717246,0.0,35.05874741254361,24.413368505068664,5000.0,6310.772804145894,1451.5036134651623,4859.269190680732,Net cost,4859.269190680732,0.3416181302900847,0.6473826997746217,0.1916181302900847,0.9954976026540001,1.0091552434288886,0.04084475657111142,0,0.0,0.0,0,0,0,0,35039,100.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.6271146253634889,0.8273946002191224,,,0.07507824478623444,0.10991029994329438,
Full_Year_2023,POMDP-LSTM-PPO,best_eval,pomdp,35040,10916,31.152968036529682,True,10915,SOC above safe limit: SOC > 0.85,-256.9819031109265,-0.023541764667545484,0.0,0.0018571379846361493,239.16301384105847,4667.643061127514,5465.986002041885,2643.0212940734027,11031.399999999983,8482.624156799988,5839.602862726585,50.45065900935608,68.8419379991667,576.100597798578,100.3004347722013,291.9801431363293,0.0,23.91630138410585,18.571379846361495,5000.0,5618.588279029045,392.2805779085306,5226.307701120515,Net cost,5226.307701120515,0.1765091998393795,0.8502585092742374,0.026509199839379494,0.9951683529956513,1.0070156564483579,0.04298434355164216,1,0.009160864785635764,0.25,0,1,0,1,10916,100.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.7738603543432228,1.444971249839,,,0.09053595117880667,0.17507925008430902,
Full_Year_2023,Formal-POMDP-LSTM-PPO,best_eval,formal,35040,35039,99.99714611872146,True,35038,Unknown termination reason.,1521.2312929696798,0.04341537409656896,0.0,0.001432246701477879,1269.2057392962938,24765.20733383951,9067.602579225759,11006.194290007606,31575.435416666623,34760.75128200002,23754.556991992413,71.28273146650082,68.3372945517812,748.1826055351573,383.7673432441359,1187.7278495996206,0.0,126.92057392962938,14.32246701477879,5000.0,5889.425646479565,1571.4951928437565,4317.930453635809,Net cost,4317.930453635809,0.17,0.7427252269479367,0.020000000000000018,0.9947674446427573,1.0064320631683794,0.043567936831620635,0,0.0,0.0,0,0,0,0,32012,91.36105482462399,1801,5.1399868717714545,1801,5.1399868717714545,1551,4.426496189959759,0,0,0.0,1568,4.4750135563229545,27603,78.77793316019293,1.0058510744891396,1.459788999909506,0.37066717058762305,0.5145635998815122,0.08362631621923425,0.13331580030353507,36.85109853622026
