Feature,Abs Contribution
PV Power,8.866800390311939
SOC,6.333625734017738
Price,3.189576869951198
CO2 Intensity,2.9406184584493094
Price Forecast +4h,2.8131494550946923
Voltage PCC,2.328794771166503
Price Forecast +3h,1.8514896420260003
Price Forecast +1h,1.6196679547020876
Price Forecast +2h,1.5806664056742024
Time,0.5396910698199865
Load,0.4817483420453796
Grid Power,0.3012736693153228
