period,controller,mean_total_step_time_ms,p95_total_step_time_ms,mean_shield_decision_time_ms,p95_shield_decision_time_ms,mean_FMU_step_time_ms,p95_FMU_step_time_ms,shield_overhead_share_pct
Q4_Unseen_Test,MDP-PPO,0.7316954835059261,1.081330499437172,,,0.09603579678210974,0.14578020163753536,
Q4_Unseen_Test,POMDP-LSTM-PPO,0.620717337615289,0.8263615000032588,,,0.0721679428475909,0.10115390032297004,
Q4_Unseen_Test,Formal-POMDP-LSTM-PPO,1.1082958734121873,1.6003431013814406,0.4051992432160957,0.5547931028559107,0.09819305777376137,0.14273389897425662,36.5605659045342
Full_Year_2023,MDP-PPO,0.696458018844789,1.0665920995961637,,,0.0926050486923151,0.14546769816661254,
Full_Year_2023,POMDP-LSTM-PPO,0.7969494375265673,1.2544697510747937,,,0.1028168857715381,0.1581267497385852,
Full_Year_2023,Formal-POMDP-LSTM-PPO,1.121641420395959,1.6354999974282691,0.4094007377962445,0.5771123996964888,0.10154494863852107,0.1489028018113457,36.50014437338796
