period,controller,model_source,env_type,expected_steps,completed_steps,completion_ratio_pct,terminated_early,termination_step,failure_reason,failure_penalty,total_reward,mean_reward_per_step,CO2_ton,avg_voltage_deviation_pu,battery_heat_loss_kWh,abs_battery_action_kWh,grid_import_kWh,grid_export_kWh,total_load_kWh,total_PV_kWh,self_consumed_PV_kWh,SSR_pct,SSC_pct,market_profit_loss,resilience_revenue,carbon_penalty,battery_wear_penalty,voltage_penalty,total_economic_value,min_SOC,max_SOC,min_SOC_low_margin,min_SOC_high_margin,min_SOC_safety_margin,min_voltage,max_voltage,min_voltage_low_margin,min_voltage_high_margin,min_voltage_safety_margin,physical_policy_violation_count,physical_policy_violation_rate_pct,unsafe_state_duration_hours,low_SOC_violation_count,high_SOC_violation_count,voltage_violation_count,stability_failure_count,accepted_action_count,corrected_action_count,corrected_action_rate_pct,clipped_action_count,clipped_action_rate_pct,blocked_action_count,blocked_action_rate_pct,final_blocked_action_count,fallback_activation_count,fallback_rate_pct,forecast_warning_count,forecast_warning_rate_pct,dynamic_reserve_count,dynamic_reserve_rate_pct,proposed_action_intervention_count,proposed_action_intervention_rate_pct,mean_total_step_time_ms,p95_total_step_time_ms,mean_shield_decision_time_ms,p95_shield_decision_time_ms,mean_FMU_step_time_ms,p95_FMU_step_time_ms,shield_overhead_share_pct
Q4_Unseen_Test,MDP-PPO,best_eval,mdp,8760,8759,99.98858447488584,True,8758,"Unknown termination reason. Check FMU logs, SOC, voltage, action, and stability_flag.",5000.0,62.67277108448048,0.007155242731416884,0.0,0.001980720701752166,57.080970961839164,1113.458631828893,4591.2088453604965,2348.4442052983754,7245.011458333309,5045.595528600005,2697.15132330163,36.62937772058833,53.45555956701914,-197.96555577079297,134.8575661650815,0.0,5.708097096183916,19.80720701752166,-5088.623293719417,0.3468896279814402,0.5492141347534972,0.1968896279814402,0.30078586524650275,0.1968896279814402,0.9955825997913876,1.0057687984172725,0.04558259979138768,0.04423120158272753,0.04423120158272753,0,0.0,0.0,0,0,0,0,8759,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.7316954835059261,1.081330499437172,,,0.09603579678210974,0.14578020163753536,
Q4_Unseen_Test,POMDP-LSTM-PPO,best_eval,pomdp,8760,4375,49.94292237442922,True,4374,SOC below safe limit: SOC < 0.15.,5000.0,-366.48514419153645,-0.08376803295806548,0.0,0.001706026729080064,99.38834212154603,1938.4474416500889,1967.761530367584,1017.7852455225276,3994.382291666655,3108.7162187999984,2090.930973277471,50.736775133595536,67.26027163986667,-95.79592425324701,104.54654866387355,0.0,9.938834212154603,17.06026729080064,-5018.248477092328,0.1492186985684086,0.707020418232993,-0.0007813014315913858,0.14297958176700698,-0.0007813014315913858,0.9961697913358608,1.004856826271019,0.046169791335860855,0.045143173728981134,0.045143173728981134,1,0.022857142857142857,0.25,1,0,0,1,4375,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.620717337615289,0.8263615000032588,,,0.0721679428475909,0.10115390032297004,
Q4_Unseen_Test,Formal-POMDP-LSTM-PPO,best_eval,formal,8760,8759,99.98858447488584,True,8758,"Unknown termination reason. Check FMU logs, SOC, voltage, action, and stability_flag.",5000.0,211.135033159012,0.024104924438750088,0.0,0.0011286404117680725,237.71467777674096,4637.907137596296,3184.47186616801,769.8326805026019,7245.011458333309,5045.595528600005,4275.762848097404,56.04600649036673,84.7424813158536,-166.31536471325444,213.7881424048702,0.0,23.771467777674097,11.286404117680725,-4987.585094203739,0.17,0.5522818058231649,0.020000000000000018,0.2977181941768351,0.020000000000000018,0.9962077702551321,1.003293250571818,0.04620777025513212,0.04670674942818209,0.04620777025513212,0,0.0,0.0,0,0,0,0,8338,265,3.025459527343304,265,3.025459527343304,191,2.180614225368193,0,0,0.0,255,2.9112912432926135,7378,84.23335997259962,456,5.206073752711497,1.1082958734121873,1.6003431013814406,0.4051992432160957,0.5547931028559107,0.09819305777376137,0.14273389897425662,36.5605659045342
Full_Year_2023,MDP-PPO,best_eval,mdp,35040,35039,99.99714611872146,True,35038,"Unknown termination reason. Check FMU logs, SOC, voltage, action, and stability_flag.",5000.0,943.0466749582463,0.026914200603848464,0.0,0.0024413368505068664,350.5874741254361,6840.597801166587,15684.15940339851,18532.64135856553,31575.435416666623,34760.75128200002,16228.109923434491,50.32797110655247,46.68515301002084,-611.2025709348574,811.4054961717246,0.0,35.05874741254361,24.413368505068664,-4859.269190680745,0.3416181302900847,0.6473826997746217,0.1916181302900847,0.20261730022537827,0.1916181302900847,0.9954976026540001,1.0091552434288886,0.04549760265400016,0.04084475657111142,0.04084475657111142,0,0.0,0.0,0,0,0,0,35039,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.696458018844789,1.0665920995961637,,,0.0926050486923151,0.14546769816661254,
Full_Year_2023,POMDP-LSTM-PPO,best_eval,pomdp,35040,10916,31.152968036529682,True,10915,SOC above safe limit: SOC > 0.85.,5000.0,-256.9819031109265,-0.023541764667545484,0.0,0.0018571379846361493,239.16301384105847,4667.643061127514,5465.986002041885,2643.0212940734027,11031.399999999983,8482.624156799988,5839.602862726585,50.45065900935608,68.8419379991667,-475.800163026376,291.9801431363293,0.0,23.91630138410585,18.571379846361495,-5226.307701120514,0.1765091998393795,0.8502585092742374,0.026509199839379494,-0.0002585092742374284,-0.0002585092742374284,0.9951683529956513,1.0070156564483579,0.04516835299565136,0.04298434355164216,0.04298434355164216,1,0.009160864785635764,0.25,0,1,0,1,10916,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.7969494375265673,1.2544697510747937,,,0.1028168857715381,0.1581267497385852,
Full_Year_2023,Formal-POMDP-LSTM-PPO,best_eval,formal,35040,35039,99.99714611872146,True,35038,"Unknown termination reason. Check FMU logs, SOC, voltage, action, and stability_flag.",5000.0,1521.2312929696798,0.04341537409656896,0.0,0.001432246701477879,1269.2057392962938,24765.20733383951,9067.602579225759,11006.194290007606,31575.435416666623,34760.75128200002,23754.556991992413,71.28273146650082,68.3372945517812,-364.4152622910231,1187.7278495996206,0.0,126.92057392962938,14.32246701477879,-4317.93045363581,0.17,0.7427252269479367,0.020000000000000018,0.10727477305206323,0.020000000000000018,0.9947674446427573,1.0064320631683794,0.04476744464275739,0.043567936831620635,0.043567936831620635,0,0.0,0.0,0,0,0,0,32012,1801,5.1399868717714545,1801,5.1399868717714545,1551,4.426496189959759,0,0,0.0,1568,4.4750135563229545,27603,78.77793316019293,3352,9.566483061731214,1.121641420395959,1.6354999974282691,0.4094007377962445,0.5771123996964888,0.10154494863852107,0.1489028018113457,36.50014437338796
