Agent,LSTM Forecast Dependence Score (%),Price Forecast Dependence Score (%)
MDP-PPO,0.0,8.48980056169452
POMDP-LSTM-PPO,36.16164258332819,14.866137653800067
POMDP-LSTM-PPO + Formal Shield,34.41107535814616,7.516162748058475
