Feature Group,Group Importance,Group Share (%)
Renewable generation,3.8193062053091347,36.76319310969419
Battery state,2.934417992019673,28.24559475101018
Grid stability,1.1658535883253647,11.22206450628542
Price forecast,0.882000316739804,8.48980056169452
Carbon signal,0.763826173770791,7.352301077494144
Economic signal,0.33410156397986734,3.215934951161779
Grid exchange,0.2491615674794157,2.398334757246428
Demand,0.15302775529784862,1.472987138694863
Time,0.08724519357289989,0.8397891467184839
