Agent,Num Local Explanations,Mean Surrogate R2,Median Surrogate R2,Min Surrogate R2,Mean Surrogate MAE kW,Mean Surrogate RMSE kW,Mean Action Label Agreement (%)
MDP-PPO,25,0.737197341254826,0.7085018638517525,0.6767078751827071,0.2488124081019907,0.3154786447726592,76.71428571428571
POMDP-LSTM-PPO,15,0.5575532694105878,0.527074098467321,0.4846666448239505,0.31959450220252544,0.41011412216119575,83.75238095238096
POMDP-LSTM-PPO + Formal Shield,25,0.6048523681418564,0.5906175586032246,0.5632703411873224,0.9182277029937534,1.1387935364928214,80.43428571428572
