#{"t_start": 1781624448.7428064, "env_id": "None"}
r,l,t,episode_shield_step_count,episode_accepted_count,episode_corrected_count,episode_clipped_count,episode_blocked_count,episode_final_blocked_count,episode_fallback_count,episode_forecast_warning_count,episode_dynamic_reserve_count,episode_avg_abs_correction_kw,episode_max_abs_correction_kw,episode_min_soc_low_margin,episode_min_soc_guard_low_margin,episode_min_voltage_margin,episode_min_predicted_soc,episode_min_actual_soc,last_shield_reason,last_reserve_reason
443.342441,26279,97.378992,26279,24135,837,837,607,0,0,1313,20224,0.025080013423785207,3.4142980575561523,0.020000000000000018,-0.04783512359543848,0.03848471301335987,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
730.238877,26279,183.827913,26279,24802,165,165,102,0,0,1313,20224,0.004812650498654563,3.0068681240081787,0.03572994372415314,-0.03,0.03920207808561238,0.18572994372415313,0.18572994372415313,moderate_forecast_reserve,moderate_forecast_reserve
742.787191,26279,263.644526,26279,24129,841,841,586,0,0,1313,20224,0.031874420275243495,4.915315739418399,0.021451683597002003,-0.04680536078539135,0.039925292705774496,0.171451683597002,0.171451683597002,moderate_forecast_reserve,moderate_forecast_reserve
980.968671,26279,350.348225,26279,24672,297,297,192,0,0,1313,20224,0.009531446540521885,3.155632495880127,0.03456370581963478,-0.03,0.039963681417090724,0.18456370581963477,0.18456370581963477,moderate_forecast_reserve,moderate_forecast_reserve
1057.569489,26279,424.706485,26279,24461,517,517,391,0,0,1313,20224,0.019789267795196557,3.896536350250244,0.020000000000000018,-0.04999999999999999,0.04043306607907615,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1131.560015,26279,507.983398,26279,24302,675,675,531,0,0,1313,20224,0.02965858674023344,4.92462158203125,0.020000000000000018,-0.04814335756748914,0.04114337097946241,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1162.508637,26279,584.18488,26279,24287,725,725,587,0,0,1313,20224,0.03583892358385192,4.814703941345215,0.020000000000000018,-0.04731951525807379,0.04059817561520895,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1012.99625,26279,671.252608,26279,23771,1239,1239,1025,0,0,1313,20224,0.06069968636859786,5.393526554107666,0.020000000000000018,-0.04788672412186859,0.04057301993719875,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1180.877951,26279,747.55582,26279,24040,973,973,801,0,0,1313,20224,0.0466092044032939,5.192068099975586,0.020000000000000018,-0.04807957488592515,0.04070250676809062,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1177.260328,26279,833.814293,26279,23835,1221,1221,1022,0,0,1313,20224,0.062221238776313144,4.821220397949219,0.020000000000000018,-0.048651433698832985,0.04151430793440314,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1212.300274,26279,909.724282,26279,23970,1101,1101,941,0,0,1313,20224,0.05420132402035988,5.298016548156738,0.020000000000000018,-0.0477991116842941,0.04193623472739416,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1233.47694,26279,995.107111,26279,23942,1142,1142,937,0,0,1313,20224,0.0556789988286346,5.531890869140625,0.020000000000000018,-0.04724229054662743,0.04124844601816746,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1152.445213,26279,1071.96422,26279,23584,1558,1558,1303,0,0,1313,20224,0.0817465171567505,4.46210241317749,0.020000000000000018,-0.04921341881901026,0.0422487184842224,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1389.135679,26279,1160.547048,26279,24300,778,778,626,0,0,1313,20224,0.03510560912403038,4.7314066886901855,0.020000000000000018,-0.04505013688094911,0.0420969469654211,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1545.771225,26279,1238.562159,26279,24768,242,242,167,0,0,1313,20224,0.008174387034355343,3.3995423316955566,0.020000000000000018,-0.03512724714686993,0.04230666540896877,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1568.815513,26279,1325.704401,26279,24766,261,261,191,0,0,1313,20224,0.010246821831766877,3.7485461235046387,0.020000000000000018,-0.03313844231320051,0.04258079407546367,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1484.534892,26279,1403.00613,26279,24345,780,780,600,0,0,1313,20224,0.034321038841084284,4.399590158462531,0.020000000000000018,-0.04402586985536314,0.042663260448442486,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1315.335985,26279,1489.966395,26279,23780,1448,1448,1165,0,0,1313,20224,0.08073320532773949,5.255254745483398,0.020000000000000018,-0.04999999999999999,0.04291733032652534,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
1202.154485,26279,1570.702139,26279,23431,1828,1828,1553,0,0,1313,20224,0.11333243601242503,5.447558403015137,0.020000000000000018,-0.04998256435245274,0.042432175957146434,0.17,0.17,moderate_forecast_reserve,moderate_forecast_reserve
